task,method,seed,n_evals,folds,wall,own_best,ref_cv,regret,test,hit_optimum
tree_cancer,optuna_tpe,5,60,300,1.7967103329999645,0.9365800273597811,0.9459917920656634,0.007058823529411895,0.916083916083916,False
tree_cancer,optuna_tpe,6,60,300,1.6892603139999665,0.9389329685362519,0.9131600547195623,0.039890560875513015,0.8881118881118881,False
tree_cancer,optuna_tpe,7,60,300,1.768589205000012,0.9389876880984952,0.9506976744186048,0.0023529411764705577,0.916083916083916,False
tree_cancer,optuna_tpe,8,60,300,1.6686713199999872,0.9530232558139536,0.9436935704514365,0.009357045143638776,0.9230769230769231,False
tree_cancer,optuna_tpe,9,60,300,1.6337497850000204,0.9318467852257182,0.9342818057455542,0.018768809849521118,0.8881118881118881,False
tree_cancer,grid_search,-1,1200,6000,36.36359279399852,0.9530506155950753,0.9530506155950753,0.0,0.8951048951048951,True
hgb_synth,ags_default,0,29,145,9.25607247900001,0.9617414664981038,0.9518647281921618,0.007095448798988491,0.9671179883945842,False
hgb_synth,ags_default,1,16,80,8.341699844000004,0.9557680151706702,0.9579487989886222,0.0010113780025281516,0.9690806690180906,False
hgb_synth,ags_default,2,17,85,6.689482435000002,0.9535714285714285,0.952117572692794,0.0068426042983563695,0.9638752986687905,False
hgb_synth,ags_default,3,29,142,15.517142390000004,0.9582174462705435,0.9534608091024019,0.0054993678887483854,0.967573102742064,False
hgb_synth,ags_default,4,13,63,5.500461065999957,0.9585967130214919,0.9503476611883691,0.008612515802781218,0.9696495619524406,False
hgb_synth,ags_default,5,13,65,7.057924866999997,0.9578855878634638,0.9555309734513273,0.0034292035398230114,0.9725224712709069,False
hgb_synth,ags_default,6,18,83,7.052805637999995,0.9575063211125159,0.9467762326169407,0.012183944374209665,0.9598361588349072,False
hgb_synth,ags_default,7,17,82,5.704775708,0.9590391908975979,0.9551991150442477,0.003761061946902622,0.9703037888269427,False
hgb_synth,ags_default,8,13,65,6.807676310999966,0.9581542351453856,0.9555309734513273,0.0034292035398230114,0.9725224712709069,False
hgb_synth,ags_default,9,25,122,14.180036158000007,0.961156763590392,0.9541877370417193,0.0047724399494309955,0.9679144385026739,False
hgb_synth,ags_no_early_stop,0,40,196,13.18204816299999,0.9617414664981038,0.9518647281921618,0.007095448798988491,0.9671179883945842,False
hgb_synth,ags_no_early_stop,1,40,178,19.873532935000014,0.9557680151706702,0.9579487989886222,0.0010113780025281516,0.9690806690180906,False
hgb_synth,ags_no_early_stop,2,40,199,20.80404691199999,0.9579329962073324,0.9574589127686473,0.0015012642225030737,0.9677722152690864,False
hgb_synth,ags_no_early_stop,3,40,189,20.87653581799998,0.9587547408343868,0.9541561314791405,0.004804045512009858,0.9690522243713732,False
hgb_synth,ags_no_early_stop,4,40,176,15.480425359000037,0.959323640960809,0.952117572692794,0.0068426042983563695,0.9638752986687905,False
hgb_synth,ags_no_early_stop,5,40,158,21.06421821799995,0.9649441635061103,0.9527338811630848,0.006226295828065553,0.9672033223347366,False
hgb_synth,ags_no_early_stop,6,40,169,11.168948377999982,0.9575063211125159,0.9467762326169407,0.012183944374209665,0.9598361588349072,False
hgb_synth,ags_no_early_stop,7,40,183,20.334511921,0.9600505689001263,0.9549304677623262,0.004029709228824174,0.9690522243713734,False
hgb_synth,ags_no_early_stop,8,40,184,23.639725081999984,0.9588653603034134,0.9534608091024019,0.0054993678887483854,0.9688531118443509,False
hgb_synth,ags_no_early_stop,9,40,170,18.149303817999964,0.961156763590392,0.9541877370417193,0.0047724399494309955,0.9679144385026739,False
hgb_synth,ags_no_prune_no_stop,0,40,200,13.231240705000005,0.9617414664981038,0.9518647281921618,0.007095448798988491,0.9671179883945842,False
hgb_synth,ags_no_prune_no_stop,1,40,200,21.172290748000023,0.9557680151706702,0.9579487989886222,0.0010113780025281516,0.9690806690180906,False
hgb_synth,ags_no_prune_no_stop,2,40,200,21.03273865700004,0.9579329962073324,0.9574589127686473,0.0015012642225030737,0.9677722152690864,False
hgb_synth,ags_no_prune_no_stop,3,40,200,21.524414571000023,0.9582174462705435,0.9534608091024019,0.0054993678887483854,0.967573102742064,False
