method,seed,budget,n_evals,folds,own_cv,test,pick,wall_total
optuna_tpe,3,25,150,125,0.8893612713837434,0.888863837904613,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.0, 'max_features': 0.5, 'max_iter': 200}",832.4199673960002
optuna_tpe,3,50,150,250,0.889802161712274,0.887562795876398,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 0.5, 'max_iter': 200}",832.4199673960002
optuna_tpe,3,100,150,500,0.8925262340992679,0.887000232863695,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.0, 'max_features': 0.7, 'max_iter': 200}",832.4199673960002
optuna_tpe,3,150,150,750,0.8925262340992679,0.887000232863695,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.0, 'max_features': 0.7, 'max_iter': 200}",832.4199673960002
ags_default,4,16,16,80,0.8887696685449494,0.8808927974424594,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 5, 'l2_regularization': 0.1, 'max_features': 0.3, 'max_iter': 100}",31.765275062
ags_no_early_stop,4,25,150,125,0.8919976155931213,0.884609698028317,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 5, 'l2_regularization': 0.1, 'max_features': 0.5, 'max_iter': 100}",633.1315352040001
ags_no_early_stop,4,50,150,228,0.8919976155931213,0.884609698028317,"{'learning_rate': 0.2, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 5, 'l2_regularization': 0.1, 'max_features': 0.5, 'max_iter': 100}",633.1315352040001
ags_no_early_stop,4,100,150,469,0.8924789958497822,0.8851746338615232,"{'learning_rate': 0.1, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 5, 'l2_regularization': 0.1, 'max_features': 0.5, 'max_iter': 200}",633.1315352040001
ags_no_early_stop,4,150,150,715,0.8963052940581031,0.8871260332610524,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 0.3, 'max_iter': 200}",633.1315352040001
random,4,25,150,125,0.883155065177537,0.8724801259918595,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': 8, 'min_samples_leaf': 2, 'l2_regularization': 0.0, 'max_features': 1.0, 'max_iter': 100}",198.649650587
random,4,50,150,250,0.883155065177537,0.8724801259918595,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': 8, 'min_samples_leaf': 2, 'l2_regularization': 0.0, 'max_features': 1.0, 'max_iter': 100}",198.649650587
random,4,100,150,500,0.889615458154784,0.8839961602854978,"{'learning_rate': 0.1, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.1, 'max_features': 0.3, 'max_iter': 50}",198.649650587
random,4,150,150,750,0.8932932932932933,0.887046216488615,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 5, 'l2_regularization': 0.1, 'max_features': 0.5, 'max_iter': 200}",198.649650587
optuna_tpe,4,25,150,125,0.8883467737400321,0.8819581120269108,"{'learning_rate': 0.1, 'max_leaf_nodes': 63, 'max_depth': None, 'min_samples_leaf': 5, 'l2_regularization': 0.0, 'max_features': 0.3, 'max_iter': 100}",711.1680926150002
optuna_tpe,4,50,150,250,0.8963052940581031,0.8871260332610524,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 0.3, 'max_iter': 200}",711.1680926150002
optuna_tpe,4,100,150,500,0.8963052940581031,0.8871260332610524,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 0.3, 'max_iter': 200}",711.1680926150002
optuna_tpe,4,150,150,750,0.8963052940581031,0.8871260332610524,"{'learning_rate': 0.05, 'max_leaf_nodes': 127, 'max_depth': None, 'min_samples_leaf': 2, 'l2_regularization': 0.01, 'max_features': 0.3, 'max_iter': 200}",711.1680926150002
